w	a	n_w_in_corp	corpus_size	n_pattern
nampung	1	7	638639	633
nandan	1	11	638639	633
nandur	1	36	638639	633
nang	1	120	638639	633
nanjang	1	2	638639	633
nanpa	1	1	638639	633
napimalih	1	142	638639	633
nasarin	1	8	638639	633
nawur	1	3	638639	633
nebusin	1	4	638639	633
nedunang	1	22	638639	633
negepin	1	4	638639	633
negtegang	1	20	638639	633
neguhang	1	2	638639	633
nekedang	1	6	638639	633
neken	1	1	638639	633
nekepin	1	13	638639	633
nelasang	1	46	638639	633
nelayané	1	1	638639	633
nelebin	1	18	638639	633
neliti	1	33	638639	633
nembusang	1	2	638639	633
nengsek	1	7	638639	633
nentuang	1	18	638639	633
nepék	1	4	638639	633
nerbitang	1	12	638639	633
ngadanin	1	38	638639	633
ngaé	1	295	638639	633
ngagengang	1	11	638639	633
ngahgah	1	2	638639	633
ngajeng	1	85	638639	633
ngalahang	1	22	638639	633
ngalaksanayang	1	26	638639	633
ngalangin	1	10	638639	633
ngamanfaatang	1	2	638639	633
ngambel	1	15	638639	633
ngamedalan	1	1	638639	633
ngamedalang	1	85	638639	633
ngamel	1	70	638639	633
ngamerluang	1	4	638639	633
ngamertanin	1	6	638639	633
ngamet	1	2	638639	633
ngamongin	1	4	638639	633
ngangetang	1	1	638639	633
nganggé	1	144	638639	633
nganikain	1	29	638639	633
nganter	1	10	638639	633
nganturang	1	4	638639	633
nganutin	1	140	638639	633
ngaptiang	1	139	638639	633
ngaput	1	4	638639	633
ngardi	1	48	638639	633
ngarepin	1	39	638639	633
ngargha	1	1	638639	633
ngarya	1	26	638639	633
ngasilang	1	46	638639	633
ngatur	1	21	638639	633
ngaud	1	1	638639	633
ngawinduaang	1	1	638639	633
ngéka	1	9	638639	633
ngelimbakang	1	18	638639	633
ngelopokin	1	1	638639	633
ngembangin	1	1	638639	633
ngempahang	1	4	638639	633
ngendahang	1	2	638639	633
ngepah	1	13	638639	633
ngepung	1	12	638639	633
ngesorang	1	4	638639	633
ngetisang	1	3	638639	633
ngetus	1	6	638639	633
ngias	1	6	638639	633
ngibarang	1	1	638639	633
ngicén	1	159	638639	633
ngicénin	1	184	638639	633
ngidupang	1	38	638639	633
ngilangang	1	20	638639	633
nginum	1	28	638639	633
ngisep	1	29	638639	633
ngisinin	1	46	638639	633
ngitung	1	16	638639	633
ngitungang	1	58	638639	633
nglarang	1	18	638639	633
nglawan	1	91	638639	633
nglila	1	1	638639	633
nglukis	1	9	638639	633
ngluncurang	1	7	638639	633
ngoda	1	28	638639	633
ngogo	1	7	638639	633
ngolah	1	44	638639	633
ngorupsiang	1	5	638639	633
ngraketang	1	21	638639	633
ngranjing	1	158	638639	633
ngrastiti	1	9	638639	633
ngrastitiang	1	14	638639	633
ngrédit	1	4	638639	633
ngrerehang	1	11	638639	633
ngriptayang	1	1	638639	633
nguatang	1	6	638639	633
ngubuh	1	44	638639	633
ngukuhin	1	3	638639	633
ngukur	1	13	638639	633
ngulungang	1	10	638639	633
ngunggahang	1	57	638639	633
nguripang	1	30	638639	633
nguripin	1	8	638639	633
nguruh	1	2	638639	633
ngusak	1	21	638639	633
ngutang	1	51	638639	633
ngutang-ngutang	1	11	638639	633
nguup	1	1	638639	633
nguwah	1	3	638639	633
ngwales	1	26	638639	633
ngwangiang	1	5	638639	633
ngwantu	1	63	638639	633
ngwayang	1	17	638639	633
ngwentenang	1	45	638639	633
ngwerdiang	1	31	638639	633
ngwetuang	1	187	638639	633
ngyadnyayang	1	1	638639	633
ngyasaang	1	7	638639	633
niger	1	1	638639	633
nilai	1	78	638639	633
nilai-nilai	1	44	638639	633
nilar	1	10	638639	633
nincep	1	3	638639	633
ning	1	123	638639	633
ningkahang	1	3	638639	633
nitéksi	1	1	638639	633
niyasa	1	11	638639	633
nonformalé	1	2	638639	633
nuldulin	1	9	638639	633
nulis	1	67	638639	633
numpahang	1	5	638639	633
nunggalang	1	10	638639	633
nungkulag	1	1	638639	633
nunjang	1	1	638639	633
nuntun	1	25	638639	633
nuntunin	1	2	638639	633
nuréksain	1	18	638639	633
nusuk	1	9	638639	633
nuturang	1	112	638639	633
nyabarin	1	1	638639	633
nyadia	1	15	638639	633
nyambung	1	12	638639	633
nyaplak	1	17	638639	633
nyaruang	1	12	638639	633
nyaurin	1	41	638639	633
nyedot	1	7	638639	633
nyejahtrayang	1	1	638639	633
nyelametang	1	11	638639	633
nyelametin	1	1	638639	633
nyerep	1	4	638639	633
nyeritayang	1	31	638639	633
nyihnayang	1	115	638639	633
nyikiang	1	27	638639	633
nyilibang	1	4	638639	633
nyinahang	1	82	638639	633
nyisihang	1	5	638639	633
nyoblos	1	2	638639	633
nyolahang	1	49	638639	633
nyongcong	1	2	638639	633
nyuh	1	29	638639	633
nyukat	1	7	638639	633
nyumbang	1	15	638639	633
nyungkanin	1	8	638639	633
nyurat	1	109	638639	633
nyuratang	1	21	638639	633
nyusun	1	11	638639	633
nyutetang	1	1	638639	633
obat	1	41	638639	633
olahan	1	14	638639	633
oneng	1	46	638639	633
oong	1	21	638639	633
opname	1	8	638639	633
organik	1	25	638639	633
padi	1	49	638639	633
padunungan	1	3	638639	633
paémbonan	1	1	638639	633
pagarus	1	1	638639	633
pagehang	1	5	638639	633
pajarnyané	1	7	638639	633
pajeg	1	30	638639	633
pakaryan	1	241	638639	633
pakendel	1	3	638639	633
pakraman	1	241	638639	633
palajahan	1	17	638639	633
palemahan	1	124	638639	633
pamaculan	1	12	638639	633
pamaksan	1	15	638639	633
pamidabdabnyané	1	1	638639	633
pamuponnyané	1	1	638639	633
panas	1	22	638639	633
pancasila	1	18	638639	633
pancer	1	3	638639	633
pangargan	1	42	638639	633
pangawi	1	156	638639	633
pangéling-éling	1	5	638639	633
pangentos	1	5	638639	633
pangerupukanné	1	2	638639	633
pangidupan	1	2	638639	633
pangiket	1	5	638639	633
pangléakané	1	4	638639	633
pangrasa	1	38	638639	633
pangwales	1	1	638639	633
pangweruh	1	9	638639	633
panili	1	11	638639	633
pantes	1	51	638639	633
pantun	1	13	638639	633
panyaman	1	5	638639	633
panyambléh	1	1	638639	633
panyambung	1	2	638639	633
panyuluhan	1	2	638639	633
papineh	1	38	638639	633
parajana	1	54	638639	633
paras-paros	1	9	638639	633
parilaksana-parilaksana	1	2	638639	633
parilaksanan	1	32	638639	633
parisudané	1	1	638639	633
pas	1	37	638639	633
pasametonan	1	25	638639	633
pascal	1	1	638639	633
pasemetonan	1	26	638639	633
paserahinan	1	4	638639	633
pasilur	1	1	638639	633
pasuwitra	1	1	638639	633
paswécan	1	10	638639	633
pateh	1	238	638639	633
patinget	1	2	638639	633
patuté	1	22	638639	633
paundukané	1	7	638639	633
pawanding	1	1	638639	633
pawangunanné	1	1	638639	633
pelicin	1	4	638639	633
peluang	1	12	638639	633
pemerintah	1	336	638639	633
penawar	1	3	638639	633
pendidik	1	15	638639	633
pendidikannyané	1	3	638639	633
peneliti-peneliti	1	4	638639	633
penemuanné	1	1	638639	633
pengalamannyané	1	4	638639	633
pengembangan	1	14	638639	633
pengendalian	1	10	638639	633
pengikut	1	2	638639	633
penting	1	140	638639	633
penyimpenan	1	9	638639	633
pepalaran	1	2	638639	633
peplajahan	1	29	638639	633
pepolosan	1	4	638639	633
pepolosané	1	1	638639	633
perahu	1	16	638639	633
peranda	1	50	638639	633
perang	1	98	638639	633
peraturan	1	25	638639	633
perbaikan	1	8	638639	633
perda	1	21	638639	633
perih	1	3	638639	633
pering	1	18	638639	633
persiapan	1	12	638639	633
péstisida	1	7	638639	633
petakén	1	3	638639	633
petani	1	179	638639	633
pewarna	1	4	638639	633
photoshop	1	4	638639	633
pidabdab	1	150	638639	633
pikobet	1	303	638639	633
pikobeté	1	20	638639	633
pikolih	1	45	638639	633
pinakit	1	7	638639	633
pinang	1	7	638639	633
pinaruh	1	19	638639	633
pinyungkané	1	2	638639	633
pipisé	1	49	638639	633
pisaraté	1	1	638639	633
pitakén	1	56	638639	633
pitra	1	24	638639	633
plastik	1	70	638639	633
plus	1	12	638639	633
polané	1	2	638639	633
poskeswan	1	1	638639	633
praba	1	17	638639	633
prabia	1	2	638639	633
prabotang	1	2	638639	633
prajuru	1	75	638639	633
prakanti	1	10	638639	633
pralinggan	1	2	638639	633
praniné	1	8	638639	633
praragan	1	45	638639	633
praraina	1	1	638639	633
pratiam	1	1	638639	633
pratima	1	60	638639	633
pratisentana	1	12	638639	633
prekanti	1	11	638639	633
presia	1	1	638639	633
presida	1	208	638639	633
produk	1	31	638639	633
produksi	1	27	638639	633
prostitusiné	1	2	638639	633
pulsa	1	14	638639	633
punapa-punapi	1	23	638639	633
punapi	1	164	638639	633
pungkuran	1	145	638639	633
puniku	1	5	638639	633
punyah	1	52	638639	633
punyan	1	124	638639	633
pupuk	1	18	638639	633
putra	1	212	638639	633
rahina-rahina	1	5	638639	633
ramah	1	20	638639	633
ramé	1	60	638639	633
rangkungan	1	4	638639	633
ranjingang	1	2	638639	633
raos	1	169	638639	633
ratu	1	345	638639	633
raya	1	46	638639	633
révolusiné	1	1	638639	633
rika	1	221	638639	633
rinduné	1	2	638639	633
risajeroning	1	15	638639	633
rukmini	1	12	638639	633
rupa	1	73	638639	633
rupa-rupa	1	4	638639	633
sabeh	1	42	638639	633
sabuk	1	14	638639	633
sadéréng	1	4	638639	633
sadu	1	20	638639	633
saenuné	1	2	638639	633
saha	1	330	638639	633
sahananing	1	30	638639	633
sai	1	18	638639	633
saihang	1	54	638639	633
sajan	1	415	638639	633
sajroning	1	310	638639	633
sakarifikasi	1	3	638639	633
sakatah	1	83	638639	633
sakémaon	1	16	638639	633
sakti	1	112	638639	633
saliksik	1	1	638639	633
saluir-luir	1	2	638639	633
samaliha	1	120	638639	633
sametone	1	1	638639	633
sametoné	1	39	638639	633
sampin	1	4	638639	633
sampun-sampun	1	10	638639	633
sandikalané	1	2	638639	633
sandina	1	1	638639	633
sangkep-sangkep	1	1	638639	633
sapatutné	1	52	638639	633
sapi	1	2	638639	633
sapunika	1	269	638639	633
sarah	1	21	638639	633
saraina-raina	1	2	638639	633
sarama	1	1	638639	633
saraswati	1	103	638639	633
sarirané	1	19	638639	633
sarjana	1	94	638639	633
sasolahanné	1	1	638639	633
satia	1	55	638639	633
satiosan	1	5	638639	633
satmaka	1	53	638639	633
satua	1	278	638639	633
saur	1	12	638639	633
sawah	1	37	638639	633
sayaga	1	91	638639	633
sayan-sayan	1	176	638639	633
sayuwakti	1	105	638639	633
se-bali	1	11	638639	633
seger	1	107	638639	633
sejarah	1	65	638639	633
sekaa	1	406	638639	633
sekala	1	104	638639	633
sekatah	1	45	638639	633
sekolahnyanè	1	1	638639	633
selah	1	68	638639	633
seleg	1	41	638639	633
selulase	1	1	638639	633
selulosa	1	9	638639	633
seminar	1	73	638639	633
senyawa	1	7	638639	633
sepat	1	9	638639	633
serana	1	8	638639	633
sertifikasi	1	30	638639	633
sertifikaté	1	4	638639	633
sesajén	1	6	638639	633
sesikut	1	1	638639	633
sesuratan	1	28	638639	633
simpati	1	1	638639	633
simpen	1	13	638639	633
sinah	1	843	638639	633
sinarengan	1	45	638639	633
singid	1	12	638639	633
sisan	1	26	638639	633
sisia	1	22	638639	633
siteng	1	21	638639	633
situs-situsé	1	2	638639	633
siung	1	19	638639	633
smara	1	43	638639	633
soal-soal	1	5	638639	633
soca	1	18	638639	633
sosial	1	91	638639	633
sport	1	1	638639	633
srira	1	4	638639	633
stratégi	1	9	638639	633
subhakarma	1	2	638639	633
subsidi	1	11	638639	633
subtansinyané	1	1	638639	633
sujatiné	1	223	638639	633
suksman	1	33	638639	633
suksmannyané	1	4	638639	633
suluh	1	33	638639	633
sumber-sumber	1	16	638639	633
sumpah	1	69	638639	633
surya	1	162	638639	633
sutasoma	1	34	638639	633
swadharma	1	40	638639	633
swagina	1	22	638639	633
swécan	1	5	638639	633
system	1	5	638639	633
tabe	1	1	638639	633
tabia	1	14	638639	633
tabiané	1	3	638639	633
tahun	1	88	638639	633
takonang	1	22	638639	633
taksu	1	98	638639	633
taman	1	147	638639	633
taméng	1	10	638639	633
tanahé	1	100	638639	633
tanahne	1	6	638639	633
tandados	1	1	638639	633
tasik	1	13	638639	633
tata	1	181	638639	633
tatas	1	50	638639	633
tatiga	1	20	638639	633
tatklaning	1	1	638639	633
tattwa	1	65	638639	633
tatuladan	1	15	638639	633
tebané	1	6	638639	633
tebén	1	17	638639	633
tekekang	1	5	638639	633
teknologi	1	23	638639	633
telebang	1	6	638639	633
ten	1	548	638639	633
tendasné	1	7	638639	633
tetambanan	1	1	638639	633
teteken	1	4	638639	633
tetimbang	1	24	638639	633
tetujoné	1	38	638639	633
tiliaceus	1	2	638639	633
timbangan	1	4	638639	633
tindih	1	18	638639	633
tingkat	1	111	638639	633
tirta	1	114	638639	633
toko	1	77	638639	633
tokoh	1	86	638639	633
tongos	1	309	638639	633
toris	1	30	638639	633
tri	1	180	638639	633
tuah	1	544	638639	633
tulad	1	12	638639	633
tulah-tulah	1	1	638639	633
tumbuh	1	52	638639	633
tumuwuhé	1	8	638639	633
tuntunan	1	32	638639	633
turin	1	85	638639	633
tusthi	1	8	638639	633
ucap	1	29	638639	633
ucapné	1	3	638639	633
udarané	1	1	638639	633
ugama	1	1	638639	633
uji	1	4	638639	633
ujian	1	56	638639	633
uli	1	1077	638639	633
un	1	41	638639	633
undang-undang	1	36	638639	633
unduké	1	85	638639	633
uning	1	551	638639	633
unteng	1	115	638639	633
untung	1	22	638639	633
upacarané	1	17	638639	633
upas	1	5	638639	633
upaya	1	15	638639	633
uripné	1	4	638639	633
uripnyané	1	8	638639	633
utamané	1	60	638639	633
utaminé	1	36	638639	633
utaminné	1	13	638639	633
utang	1	48	638639	633
utwai	1	2	638639	633
uu	1	9	638639	633
vitamin	1	8	638639	633
wakulan	1	1	638639	633
wanén	1	40	638639	633
wangsa	1	108	638639	633
wantuan	1	79	638639	633
warisan	1	60	638639	633
warsa	1	671	638639	633
waru	1	16	638639	633
wasiat	1	1	638639	633
watek	1	37	638639	633
wau	1	289	638639	633
wédangé	1	4	638639	633
wetengnyané	1	2	638639	633
wicara	1	75	638639	633
widang	1	288	638639	633
wikan	1	197	638639	633
wiwékan	1	5	638639	633
wiwékané	1	3	638639	633
wong	1	129	638639	633
wuku	1	92	638639	633
ya	1	210	638639	633
yakti	1	91	638639	633
yang	1	90	638639	633
yasannyané	1	1	638639	633
yayasane	1	2	638639	633
yén	1	2294	638639	633
yening	1	103	638639	633
yth	1	6	638639	633
